FIPS,clase,incidencia_edad,confianza_inferior,confianza_superior,recuento_anual,tendencia_reciente_incidencia,intervalo_inferior,intervalo_superior
0,decendiente,62.4,62.3,62.6,214614,-2.5,-3,-2
1001,estable,74.9,65.1,85.7,43,0.5,-14.9,18.6
1003,estable,66.9,62.4,71.7,170,3,-10.2,18.3
1005,estable,74.6,61.8,89.4,25,-6.4,-18.3,7.3
1007,estable,86.4,71,104.2,23,-4.5,-31.4,32.9
1009,estable,69.7,61.2,79,51,-13.6,-27.8,3.4
1011,estable,65.8,47.3,89.6,9,7.2,-27.6,58.7
1013,estable,58.3,46.4,72.7,17,2,-10.7,16.6
1015,estable,84.2,77.5,91.3,120,-3.8,-13.9,7.5
1017,decendiente,75.4,64.4,87.9,34,-7.9,-8.5,-7.3
1019,estable,82.4,69.8,96.9,32,7.1,-13,31.7
1021,estable,73.9,63.7,85.4,39,-0.2,-17.6,20.8
1023,estable,49.2,36.3,66,10,9.7,-31.4,75.3
1025,estable,69.5,57.3,83.7,23,-1.3,-12.4,11.1
1027,estable,83.3,65.8,104.5,16,-13.8,-30.7,7.2
1029,estable,74.9,58.1,95.4,14,4.8,-20.1,37.4
1031,estable,71.5,62.3,81.9,43,-7.2,-20,7.6
1033,estable,75.9,67.2,85.5,57,-4.4,-15.6,8.3
1035,estable,73.5,57.1,93.8,14,-9.7,-41.4,39.2
1037,estable,82.6,63.9,106,14,-11.5,-43.5,38.7
1039,estable,83,72.3,95.1,44,5.7,-11.2,25.9
1041,estable,61.5,46.3,80.6,11,14.7,-21.8,68.4
1043,estable,69.6,62.6,77.3,73,-2.2,-20.4,20.3
1045,estable,76.7,66.7,87.7,44,-3.2,-11.4,5.7
1047,estable,76.2,65.6,88,39,7.4,-16.9,38.8
1049,estable,60.8,53.5,68.9,51,-2.1,-11.9,8.8
1051,estable,78.1,69.7,87.2,66,-3.4,-13.9,8.4
1053,estable,75.5,64.8,87.6,36,0,-21.5,27.2
1055,estable,81.9,75.1,89.1,110,-0.1,-9.8,10.6
1057,estable,77.3,62.3,95.3,19,-6.1,-36.5,38.8
1059,estable,72.4,60.7,85.8,28,-3.2,-18.9,15.6
1061,estable,90.3,77.2,105.2,35,-2.7,-16.1,12.8
1063,estable,87.9,65,117,10,10.2,-28.3,69.3
1065,estable,71,55,90.6,14,1.8,-25.5,39
1067,decendiente,66.5,52.7,83.3,17,-14.3,-24.3,-2.9
1069,estable,70.8,64.2,77.8,88,-2.3,-6.7,2.2
1071,estable,80.9,71.7,91.1,58,-2.6,-14.7,11.3
1073,decendiente,65.1,62.5,67.8,482,-1.8,-3.3,-0.3
1075,estable,80.4,64,100.3,17,4.1,-14.5,26.6
1077,estable,69.3,62.9,76.3,87,-1.3,-8.2,6.1
1079,estable,88.1,75.6,102.3,37,-9,-28.3,15.3
1081,estable,59.4,53.2,66.1,71,0.3,-4.6,5.6
1083,estable,73.4,65.7,81.8,69,-2.7,-11.3,6.6
1085,estable,57.6,41.1,79,8,-14.5,-42.7,27.6
1087,estable,57.9,45.3,73.3,15,-6.1,-37.2,40.5
1089,decendiente,64.8,61.1,68.6,236,-4.6,-7.2,-1.9
1091,estable,61.6,49.3,76.4,17,0.1,-9,10.1
1093,estable,74.2,63.1,86.9,33,1.2,-12.5,17.1
1095,estable,79.4,72.1,87.2,90,-5.3,-12.6,2.6
1097,estable,75.4,71.9,79.1,347,-2.1,-6.5,2.4
1099,estable,62.3,50.2,76.7,19,-8.5,-26.5,13.9
1101,decendiente,61,56.5,65.6,144,-9.6,-15.1,-3.8
1103,estable,80.4,74,87.4,116,-3.2,-12,6.4
1105,estable,83.1,62.5,108.8,11,-5,-20.5,13.6
1107,estable,65.6,52.8,81,18,-13.2,-26.2,2
1109,estable,61.8,50.5,74.9,22,-11.9,-35.2,19.8
1111,estable,75.5,62.2,91,24,-8.5,-27.8,16
1113,estable,78.7,68.8,89.6,47,-3.6,-15.4,9.7
1115,estable,74.7,67.1,83.1,72,-2.3,-6.9,2.5
1117,estable,57.1,52.2,62.2,108,-6.1,-15,3.8
1119,estable,55.5,40.5,74.7,9,-2.3,-30.3,37.1
1121,estable,74,66.5,82.1,74,2.5,-1.9,7.1
1123,estable,70.5,61,81.3,41,2,-12.1,18.3
1125,estable,72.3,66.9,78.1,135,-4.1,-11.4,3.7
1127,estable,98.3,89.2,108.1,89,0.1,-9.9,11.2
1129,estable,74.8,58.9,93.9,16,-0.5,-23.4,29.2
1131,estable,73.2,54.4,96.7,11,-6.2,-24,15.8
1133,estable,90.8,76.9,106.7,31,-12.5,-23.7,0.4
2013,desconocido,0,0,0,0,0,0,0
2016,desconocido,0,0,0,0,0,0,0
2020,estable,61.5,56.5,66.8,131,-6.5,-12.8,0.3
2050,estable,62.7,40.3,91.9,6,-26.1,-50.8,11.1
2060,desconocido,0,0,0,0,0,0,0
2068,desconocido,0,0,0,0,0,0,0
2070,desconocido,0,0,0,0,0,0,0
2090,estable,58.1,49.1,68,36,-8.4,-19.1,3.6
2100,desconocido,0,0,0,0,0,0,0
2110,estable,35.1,24.8,47.9,9,3.5,-12.3,22.2
2122,estable,64.9,55.4,75.4,39,-12.8,-26.4,3.4
2130,estable,88.3,65.7,115.9,12,-16.9,-32.5,2.3
2150,estable,74.7,48.8,108.2,7,-19.2,-36.4,2.7
2164,desconocido,0,0,0,0,0,0,0
2170,estable,69.7,60.6,79.7,51,1.8,-9.7,14.7
2180,estable,103.6,68.4,148.9,6,-15.3,-54.8,58.8
2185,estable,153.4,95.2,229.4,6,0.2,-34.3,52.7
2188,desconocido,67.6,37.1,111.2,3,0,0,0
2201,estable,81.4,48.2,128.5,4,-6.6,-36.7,37.8
2220,estable,44,26.6,68.5,4,34.9,-6.6,94.7
2232,desconocido,0,0,0,0,0,0,0
2240,estable,76.8,48.1,116,5,4.4,-40.6,83.3
2261,estable,66.1,41.1,99.9,6,-9.8,-32.9,21.3
2270,desconocido,0,0,0,0,0,0,0
2280,estable,78.8,51.9,115.6,6,-17.3,-48.3,32.2
2282,desconocido,0,0,0,0,0,0,0
2290,desconocido,58.3,33.2,95.4,3,0,0,0
4001,creciente,22.9,18.1,28.5,16,13.4,2.4,25.5
4003,estable,46.9,42.5,51.8,84,0.9,-4.7,6.8
4005,estable,36.7,31.5,42.4,39,-1.3,-26.6,32.9
4007,estable,54.3,47.7,61.7,52,-10.5,-24.4,6
4009,estable,45.5,36,56.7,16,-5.2,-31.1,30.2
4011,estable,64,42.5,92.5,6,-7.1,-31.5,26.1
4012,estable,54.4,44.1,67.2,25,-5.7,-27.3,22.4
4013,decendiente,52.2,51.2,53.2,2059,-4,-5.5,-2.4
4015,estable,76.6,72.6,80.9,280,-0.7,-12.7,13
4017,estable,39.6,34.5,45.2,46,-1.1,-14.9,14.9
4019,estable,50.9,49.1,52.7,628,-1.8,-7.4,4.1
4021,decendiente,45.5,42.7,48.5,201,-5.2,-9.5,-0.6
4023,estable,36.1,29,44.4,19,-16.4,-48,34.4
4025,estable,51.9,48.6,55.3,203,-3.7,-11.2,4.4
4027,estable,48,44.1,52.1,115,-4.3,-17.5,10.9
5001,estable,85.9,70.1,104.4,21,-6.8,-14.3,1.4
5003,estable,77,63.3,92.9,23,6.2,-10.4,25.8
5005,estable,85.6,76.4,95.9,71,-2.1,-11.8,8.7
5007,estable,56.4,52.1,60.9,129,1.3,-4.2,7.2
5009,estable,67.7,58,78.8,35,4.4,-11.7,23.4
5011,estable,86.3,66.3,111,13,6.5,-12.1,29
5013,estable,82.5,56.2,118.7,6,11.9,-25.1,67.1
5015,estable,59.1,48.9,71.1,25,5.1,-5.8,17.2
5017,estable,76.4,58.3,99,12,-1.4,-40,62.1
5019,estable,71.6,57.8,87.8,19,8,-18,42.3
5021,estable,108.7,90.6,129.9,26,2.1,-10,15.9
5023,estable,83.6,72,97,38,3,-14.5,24.1
5025,estable,77.5,56.6,104.5,9,15.8,-24.9,78.4
5027,estable,72,58.8,87.3,21,8.8,-17,42.5
5029,estable,75,61.4,91.1,21,-12.9,-29.1,7.1
5031,estable,74.6,67.1,82.7,74,4.4,-8.8,19.6
5033,estable,79.1,70,89.1,56,0.2,-8.5,9.7
5035,estable,75.6,64.9,87.5,37,4.1,-3.7,12.5
5037,estable,77.5,62,95.9,18,4.5,-25.2,45.9
5039,estable,82.2,60.1,110.8,9,-0.6,-45.5,81.3
5041,estable,79.2,61,101.5,13,7.8,-14.7,36.2
5043,decendiente,77.3,61.8,95.6,17,-18.2,-32.8,-0.4
5045,estable,75.9,68.4,84,78,4.5,-4.9,14.8
5047,estable,77.1,62.2,94.8,19,-11.7,-38.4,26.4
5049,estable,64.7,49.4,84.2,14,-3.8,-25.9,24.8
5051,estable,80.6,74.2,87.6,121,-0.8,-11.2,10.8
5053,estable,96.1,78.1,117.2,21,-1.2,-27.9,35.2
5055,estable,89.2,77.8,101.9,45,5,-4.5,15.5
